"Benchmark","Algorithm","Run","Hypervolume","GD","Time","ParetoSize"
"ZDT2","MO_AGD_PSO",13,0.536239870340854,0.00278031573735161,20.1187310218811,100
"ZDT2","MO_AGD_PSO",14,0.536404911135117,0.00238011510324337,20.066780090332,100
"ZDT2","MO_AGD_PSO",15,0.535978374601144,0.00200864527573645,20.1875030994415,100
"ZDT2","MO_AGD_PSO",16,0.535891475461539,0.00284402529367251,20.1088290214539,100
"ZDT2","MO_AGD_PSO",17,0.53545041141381,0.00282464225615387,20.3257429599762,100
"ZDT2","MO_AGD_PSO",18,0.536580905242796,0.0027446039171952,20.0071530342102,100
"ZDT2","MO_AGD_PSO",19,0.536142560257843,0.00224798713657047,20.2596530914307,100
"ZDT2","MO_AGD_PSO",20,0.536935895312982,0.00211280080991007,20.1201169490814,100
"ZDT2","MO_AGD_PSO",21,0.536855410861184,0.00208502223157402,20.0380930900574,100
"ZDT2","MO_AGD_PSO",22,0.535612369198061,0.00318250348198996,20.4857099056244,100
"ZDT2","MO_AGD_PSO",23,0.536291249707549,0.0022705905267816,20.2694668769836,100
"ZDT2","MO_AGD_PSO",24,0.536741514194929,0.00193934017569536,20.225114107132,100
"ZDT2","MO_AGD_PSO",25,0.536866487685435,0.00218091148598288,20.0528118610382,100
"ZDT2","MO_AGD_PSO",26,0.536786470185349,0.00204235772999179,20.1568069458008,100
"ZDT2","MO_AGD_PSO",27,0.535482334013042,0.00316965337641164,20.0307230949402,100
"ZDT2","MO_AGD_PSO",28,0.536587265265723,0.00238105737735537,19.9983570575714,100
"ZDT2","MO_AGD_PSO",29,0.536448745705965,0.00217140370250103,20.0008840560913,100
"ZDT2","MO_AGD_PSO",30,0.537028581759426,0.00161284109997251,20.2010140419006,100
"ZDT2","MO_AGD_PSO",31,0.536555152841874,0.00215643768631199,20.8630650043488,100
"ZDT3","NSGAII",1,1.24210110661197,0.00164303856268052,17.4206998348236,100
"ZDT3","NSGAII",2,1.3251447567691,0.00144860429612685,19.3326330184937,100
"ZDT3","NSGAII",3,1.32504077185895,0.00156190575355018,22.0734190940857,100
"ZDT3","NSGAII",4,1.32482851989571,0.00157983970001554,17.5555400848389,100
"ZDT3","NSGAII",5,1.32560563127069,0.00150712268570831,18.2423000335693,100
"ZDT3","NSGAII",6,1.32479479534381,0.00326960786572063,17.8865151405334,100
"ZDT3","NSGAII",7,1.32551501653296,0.00172274252490255,17.681519985199,100
"ZDT3","NSGAII",8,1.32522924623011,0.0019026250374633,16.2496380805969,100
"ZDT3","NSGAII",9,1.32392299465651,0.0017438482328455,16.4761621952057,100
"ZDT3","NSGAII",10,1.32525431477121,0.00158624582589983,16.7191290855408,100
"ZDT3","NSGAII",11,1.24285327057602,0.00116932202315326,17.1600251197815,100
"ZDT3","NSGAII",12,1.32621266781657,0.00158589756422253,17.0261781215668,100
"ZDT3","NSGAII",13,1.32533973444877,0.00155189945427543,16.6706221103668,100
"ZDT3","NSGAII",14,1.32471255333604,0.00188771727095248,17.4019010066986,100
"ZDT3","NSGAII",15,1.32613577719874,0.00123810494691697,16.9346530437469,100
"ZDT3","NSGAII",16,1.32476065221981,0.00165613438793027,16.806401014328,100
"ZDT3","NSGAII",17,1.32542668387714,0.00163972444138672,16.8648400306702,100
"ZDT3","NSGAII",18,1.32611896515732,0.00122951024336705,16.9789700508118,100
"ZDT3","NSGAII",19,1.32429107184957,0.00163669111759705,17.0701589584351,100
"ZDT3","NSGAII",20,1.32575248452406,0.00157578060217887,16.7889370918274,100
"ZDT3","NSGAII",21,1.32589834697127,0.00130056042544657,16.5932970046997,100
"ZDT3","NSGAII",22,1.32625064583276,0.001147883627336,17.041167974472,100
"ZDT3","NSGAII",23,1.32597510751378,0.00223151668268449,16.2036550045013,100
"ZDT3","NSGAII",24,1.32551587247738,0.00172549842644007,16.1616289615631,100
"ZDT3","NSGAII",25,1.32609182715721,0.00132174972972528,16.3044440746307,100
"ZDT3","NSGAII",26,1.32500083346853,0.00194898102411224,16.1383888721466,100
"ZDT3","NSGAII",27,1.32561082094042,0.00139793997187665,16.4479520320892,100
"ZDT3","NSGAII",28,1.32639817668637,0.00123614460957883,16.2656810283661,100
"ZDT3","NSGAII",29,1.32548046448929,0.00146173333880369,16.1640260219574,100
"ZDT3","NSGAII",30,1.3261637948766,0.00112924189348832,16.2215819358826,100
"ZDT3","NSGAII",31,1.32541100937381,0.00153167985588908,16.1964099407196,100
"ZDT3","MO_AGD_PSO",1,1.32773589360878,0.00139785752670336,19.9796061515808,100
"ZDT3","MO_AGD_PSO",2,1.3275545282867,0.0011761897941248,20.0436570644379,100
"ZDT3","MO_AGD_PSO",3,1.32671974038461,0.00171856789705632,20.3796701431274,100
"ZDT3","MO_AGD_PSO",4,1.32713845219631,0.00137940365104611,20.4405059814453,100
"ZDT3","MO_AGD_PSO",5,1.32795584209644,0.00131163784411873,20.34907579422,100
"ZDT3","MO_AGD_PSO",6,1.32397451432201,0.00203142774071587,20.1594500541687,100
"ZDT3","MO_AGD_PSO",7,1.32743097648949,0.00155788011856034,20.1867439746857,100
"ZDT3","MO_AGD_PSO",8,1.32713931387252,0.00145573195514731,20.0986549854279,100
"ZDT3","MO_AGD_PSO",9,1.32806564211757,0.00119356809515358,20.077889919281,100
"ZDT3","MO_AGD_PSO",10,1.32493032057615,0.00166826581459849,20.1629230976105,100
"ZDT3","MO_AGD_PSO",11,1.31905227780086,0.00330692610677826,20.0680949687958,100
